;period_2;NAME;UPDATETIME;VALTODAY;VALTODAY_USD;NUMTRADES
263;2021-March-18;commodity;2021-03-18 07:00:00;nan;nan;nan
264;2021-March-18;TOTALS;2021-03-18 23:50:04;4196643,95481;57408,1378844;4966367,0
265;2021-March-19;stock;2021-03-19 23:50:03;1851522,96517;25136,68492;1869125,0
266;2021-March-19;currency;2021-03-19 23:49:59;1509574,0915;20494,311448;407729,0
267;2021-March-19;futures;2021-03-19 18:44:59;934099,062893;12681,5352926;2210760,0
268;2021-March-19;commodity;2021-03-19 07:00:00;nan;nan;nan
269;2021-March-19;TOTALS;2021-03-19 23:50:03;4295196,11956;58312,5316606;4487614,0
270;2021-March-22;stock;2021-03-22 23:50:03;2264039,8228;30537,7712513;2106595,0
271;2021-March-22;currency;2021-03-22 23:49:59;1359063,67468;18331,2922306;447872,0
272;2021-March-22;futures;2021-03-22 18:44:59;657010,565411;8861,87519944;1561498,0
273;2021-March-22;commodity;2021-03-22 07:00:00;nan;nan;nan
274;2021-March-22;TOTALS;2021-03-22 23:50:03;4280114,06289;57730,9386813;4115965,0
275;2021-March-23;stock;2021-03-23 23:50:25;2242973,2936;30063,2406978;2082845,0
276;2021-March-23;currency;2021-03-23 23:49:59;1584383,50337;21235,9651162;504061,0
277;2021-March-23;futures;2021-03-23 18:44:59;855113,500034;11461,3415366;1976937,0
278;2021-March-23;commodity;2021-03-23 07:00:00;nan;nan;nan
279;2021-March-23;TOTALS;2021-03-23 23:50:25;4682470,29701;62760,5473506;4563843,0
280;2021-March-24;stock;2021-03-24 23:50:07;1856818,18192;24639,7975268;1968842,0
281;2021-March-24;currency;2021-03-24 23:49:58;1682426,90393;22325,6421496;457819,0
282;2021-March-24;futures;2021-03-24 18:44:59;816993,492983;10841,4245637;1988508,0
283;2021-March-24;commodity;2021-03-24 07:00:00;nan;nan;nan
284;2021-March-24;TOTALS;2021-03-24 23:50:07;4356238,57883;57806,86424;4415169,0
285;2021-March-25;stock;2021-03-25 23:50:25;1511862,4493;19852,8294734;1804909,0
286;2021-March-25;currency;2021-03-25 23:49:58;1452401,12272;19072,0206257;419580,0
287;2021-March-25;futures;2021-03-25 18:44:59;814109,864431;10690,3801458;2032160,0
288;2021-March-25;commodity;2021-03-25 07:00:00;nan;nan;nan
289;2021-March-25;TOTALS;2021-03-25 23:50:25;3778373,43645;49615,230244800005;4256649,0
290;2021-March-26;stock;2021-03-26 23:50:08;1608153,92602;21111,5579445;1851304,0
291;2021-March-26;currency;2021-03-26 23:49:59;1557908,30081;20451,9423375;402488,0
292;2021-March-26;futures;2021-03-26 18:44:59;688062,840445;9032,76626104;1733150,0
293;2021-March-26;commodity;2021-03-26 07:00:00;nan;nan;nan
294;2021-March-26;TOTALS;2021-03-26 23:50:08;3854125,06728;50596,266543;3986942,0
295;2021-March-29;stock;2021-03-29 23:50:03;1964463,89335;25930,9150943;2228680,0
296;2021-March-29;currency;2021-03-29 23:49:59;1476188,08424;19485,676476599998;400160,0
297;2021-March-29;futures;2021-03-29 18:44:59;584726,725007;7718,39030021;1526176,0
298;2021-March-29;commodity;2021-03-29 07:00:00;nan;nan;nan
299;2021-March-29;TOTALS;2021-03-29 23:50:03;4025378,7026;53134,9818711;4155016,0
300;2021-March-30;stock;2021-03-30 23:50:03;1594769,98498;21031,2188523;1993733,0
301;2021-March-30;currency;2021-03-30 23:49:54;1540962,0147;20321,6198444;400643,0
302;2021-March-30;futures;2021-03-30 18:44:59;709215,671631;9352,866020790001;1593030,0
303;2021-March-30;commodity;2021-03-30 07:00:00;nan;nan;nan
304;2021-March-30;TOTALS;2021-03-30 23:50:03;3844947,67131;50705,7047175;3987406,0
305;2021-March-31;stock;2021-03-31 23:50:37;2314639,68903;30575,5530417;2121597,0
306;2021-March-31;currency;2021-03-31 23:49:59;1699120,6201;22444,7687864;433238,0
307;2021-March-31;futures;2021-03-31 18:44:59;559951,688371;7396,75925792;1427655,0
308;2021-March-31;commodity;2021-03-31 07:00:00;nan;nan;nan
309;2021-March-31;TOTALS;2021-03-31 23:50:37;4573711,9975;60417,0810861;3982490,0
310;2021-April-1;stock;2021-04-01 23:50:37;1659953,63898;21946,2307484;2058364,0
311;2021-April-1;currency;2021-04-01 23:49:58;1544521,5586;20420,104348099998;399480,0
312;2021-April-1;futures;2021-04-01 18:44:59;778511,211562;10292,6890775;1887557,0
313;2021-April-1;commodity;2021-04-01 07:00:00;nan;nan;nan
314;2021-April-1;TOTALS;2021-04-01 23:50:37;3982986,40915;52659,024173900005;4345401,0
315;2021-April-2;stock;2021-04-02 23:50:03;1445036,64041;19061,9721373;1401824,0
316;2021-April-2;currency;2021-04-02 23:49:58;1019200,78131;13444,6257987;285226,0
317;2021-April-2;futures;2021-04-02 18:44:59;350557,017335;4624,31741185;916991,0
318;2021-April-2;commodity;2021-04-02 07:00:00;nan;nan;nan
319;2021-April-2;TOTALS;2021-04-02 23:50:03;2814794,43905;37130,9153479;2604041,0
