;Year;Month;Day;Name;CountTrades(K);OpenPrice;LowPrice;HighPrice;ClosePrice;WAPrice;VOLUMERUB
12;Год: 2021;Месяц: 2;День: 19;Юань-российский рубль__CETS;0.372;11,4609;11,4436;11,484;11,467;11,4659;606236192.5
15;Год: 2021;Месяц: 2;День: 20;Юань-российский рубль__CETS;0.249;11,1651;11,1651;11,692;11,4701;11,5093;237701924.2
5;Год: 2021;Месяц: 2;День: 16;Доллар США-российский рубль__CETS;60.723;73,28;73,14;73,91;73,64;73,4959;246557985702.5
9;Год: 2021;Месяц: 2;День: 17;Доллар США-российский рубль__CETS;58.52;73,7675;73,55;74,2;73,71;73,8722;246650785130.0
13;Год: 2021;Месяц: 2;День: 18;Доллар США-российский рубль__CETS;66.988;73,805;73,5125;74,1675;73,91;73,7961;243523740592.5
17;Год: 2021;Месяц: 2;День: 19;Доллар США-российский рубль__CETS;54.393;73,9525;73,8;74,2;74,125;73,9696;232235813115.0
21;Год: 2021;Месяц: 2;День: 20;Доллар США-российский рубль__CETS;16.963;74,12;73,865;74,185;74,08;73,9811;39310958237.5
5;Год: 2021;Месяц: 2;День: 16;Евро-российский рубль__CETS;6.037;89,0075;88,8;89,5;89,275;89,1768;23220845417.5
9;Год: 2021;Месяц: 2;День: 17;Евро-российский рубль__CETS;7.807;89,225;88,7525;89,3525;88,77;89,0548;28607422602.5
13;Год: 2021;Месяц: 2;День: 18;Евро-российский рубль__CETS;7.4;88,91;88,6825;89,525;89,38;89,0807;25405454240.0
17;Год: 2021;Месяц: 2;День: 19;Евро-российский рубль__CETS;5.555;89,4375;89,4175;89,905;89,825;89,6731;19763672610.0
21;Год: 2021;Месяц: 2;День: 20;Евро-российский рубль__CETS;4.351;89,9825;89,46;89,9825;89,89;89,7041;13072036775.0
3;Год: 2021;Месяц: 2;День: 22;Юань-российский рубль__CETS;0.196;11,4828;11,47;11,6;11,4861;11,5752;66696127.3
6;Год: 2021;Месяц: 2;День: 24;Юань-российский рубль__CETS;0.395;11,4441;11,3921;11,4609;11,405;11,4224;826285212.0
9;Год: 2021;Месяц: 2;День: 25;Юань-российский рубль__CETS;0.539;11,3879;11,3859;11,52;11,517;11,4229;1383040841.9
5;Год: 2021;Месяц: 2;День: 22;Доллар США-российский рубль__CETS;55.767;74,19;74,0675;75,075;74,3;74,6324;169732867585.0
9;Год: 2021;Месяц: 2;День: 24;Доллар США-российский рубль__CETS;69.852;74,0175;73,4;74,0325;73,54;73,6709;256227476062.5
13;Год: 2021;Месяц: 2;День: 25;Доллар США-российский рубль__CETS;77.213;73,3875;73,325;74,8475;74,75;73,861;314920435495.0
5;Год: 2021;Месяц: 2;День: 22;Евро-российский рубль__CETS;6.232;89,85;89,8225;91,0075;90,355;90,5104;16185257497.5
9;Год: 2021;Месяц: 2;День: 24;Евро-российский рубль__CETS;6.771;90,0;89,2825;90,0;89,4475;89,509;22910802330.0
13;Год: 2021;Месяц: 2;День: 25;Евро-российский рубль__CETS;9.865;89,32;89,32;91,06;90,955;90,2695;34138111177.5
3;Год: 2021;Месяц: 2;День: 26;Юань-российский рубль__CETS;0.509;11,5414;11,4697;11,5664;11,506;11,5006;1999203964.0
6;Год: 2021;Месяц: 3;День: 1;Юань-российский рубль__CETS;0.405;11,5005;11,42;11,5015;11,47;11,4541;450363918.3
